"id","trial_number","rt","response","attempt","correct","incorrect","ssd","answer","task"
2,"1",126.2,"Right",1,1,0,250,"Right","NoStop"
2,"2",142.7,"Left",1,1,0,250,"Left","NoStop"
2,"3",135.5,"Right",1,1,0,250,"Right","NoStop"
2,"4",106.9,"Right",1,0,1,250,"NoGo","Stop"
2,"5",158.6,"Right",1,1,0,200,"Right","NoStop"
2,"6",238.2,"Left",1,1,0,200,"Left","NoStop"
2,"7",146.2,"Right",1,1,0,200,"Right","NoStop"
2,"8",187.3,"Left",1,1,0,200,"Left","NoStop"
2,"9",192.6,"Right",1,1,0,200,"Right","NoStop"
2,"10",221.4,"Right",1,0,1,200,"NoGo","Stop"
2,"11",208.3,"Right",1,1,0,150,"Right","NoStop"
2,"12",234.4,"Right",1,0,1,150,"NoGo","Stop"
2,"13",1053.6,"Right",1,0,1,100,"NoGo","Stop"
2,"14",306.4,"Left",1,1,0,50,"Left","NoStop"
2,"15",395.5,"Right",1,1,0,50,"Right","NoStop"
2,"16",1449.868,"NoGo",NA,1,0,50,"NoGo","Stop"
2,"17",336.4,"Right",1,1,0,100,"Right","NoStop"
2,"18",263.6,"Right",1,1,0,100,"Right","NoStop"
2,"19",400.1,"Left",1,1,0,100,"Left","NoStop"
2,"20",363.8,"Left",1,1,0,100,"Left","NoStop"
2,"21",319.4,"Left",1,1,0,100,"Left","NoStop"
2,"22",279.6,"Right",1,1,0,100,"Right","NoStop"
2,"23",357.2,"Right",1,1,0,100,"Right","NoStop"
2,"24",1399.86,"NoGo",NA,1,0,100,"NoGo","Stop"
2,"25",247,"Right",1,0,1,150,"NoGo","Stop"
2,"26",297.1,"Left",1,1,0,100,"Left","NoStop"
2,"27",312.2,"Left",1,1,0,100,"Left","NoStop"
2,"28",316.5,"Left",1,0,1,100,"NoGo","Stop"
2,"29",399.1,"Right",1,1,0,50,"Right","NoStop"
2,"30",519.5,"Right",1,1,0,50,"Right","NoStop"
2,"31",1449.95,"NoGo",NA,1,0,50,"NoGo","Stop"
2,"32",1399.901,"NoGo",NA,1,0,100,"NoGo","Stop"
2,"33",369.3,"Left",1,1,0,150,"Left","NoStop"
2,"34",1349.854,"NoGo",NA,1,0,150,"NoGo","Stop"
2,"35",1299.808,"NoGo",NA,1,0,200,"NoGo","Stop"
2,"36",250.8,"Right",1,1,0,250,"Right","NoStop"
2,"37",201.5,"Left",1,1,0,250,"Left","NoStop"
2,"38",256.3,"Right",1,1,0,250,"Right","NoStop"
2,"39",172.3,"Left",1,1,0,250,"Left","NoStop"
2,"40",189.4,"Left",1,1,0,250,"Left","NoStop"
2,"41",250.4,"Right",1,1,0,250,"Right","NoStop"
2,"42",204.2,"Right",1,1,0,250,"Right","NoStop"
2,"43",225.4,"Left",1,0,1,250,"NoGo","Stop"
2,"44",471.8,"Right",1,1,0,200,"Right","NoStop"
2,"45",1299.944,"NoGo",NA,1,0,200,"NoGo","Stop"
2,"46",190,"Right",1,1,0,250,"Right","NoStop"
2,"47",199.7,"Right",1,1,0,250,"Right","NoStop"
2,"48",143.5,"Right",1,0,1,250,"NoGo","Stop"
2,"49",352,"Right",1,1,0,200,"Right","NoStop"
2,"50",311.8,"Right",1,1,0,200,"Right","NoStop"
2,"51",419.6,"Left",1,1,0,200,"Left","NoStop"
2,"52",1299.865,"NoGo",NA,1,0,200,"NoGo","Stop"
2,"53",201.1,"Right",1,1,0,250,"Right","NoStop"
2,"54",211.2,"Left",1,1,0,250,"Left","NoStop"
2,"55",284.4,"Right",1,1,0,250,"Right","NoStop"
2,"56",221.6,"Left",1,1,0,250,"Left","NoStop"
2,"57",186.3,"Left",1,0,1,250,"NoGo","Stop"
2,"58",299.6,"Right",1,1,0,200,"Right","NoStop"
2,"59",329.4,"Right",1,1,0,200,"Right","NoStop"
2,"60",418.6,"Left",1,1,0,200,"Left","NoStop"
2,"61",1299.905,"NoGo",NA,1,0,200,"NoGo","Stop"
2,"62",139.8,"Left",1,0,1,250,"NoGo","Stop"
2,"63",471.5,"Right",1,1,0,200,"Right","NoStop"
2,"64",467.2,"Right",1,1,0,200,"Right","NoStop"
2,"65",359,"Left",1,1,0,200,"Left","NoStop"
2,"66",363.7,"Left",1,1,0,200,"Left","NoStop"
2,"67",236.6,"Left",1,1,0,200,"Left","NoStop"
2,"68",416.5,"Right",1,1,0,200,"Right","NoStop"
2,"69",1300.124,"NoGo",NA,1,0,200,"NoGo","Stop"
2,"70",209.1,"Right",1,1,0,250,"Right","NoStop"
2,"71",1249.913,"NoGo",NA,1,0,250,"NoGo","Stop"
2,"72",208.1,"Left",1,1,0,300,"Left","NoStop"
2,"73",316.1,"Left",1,1,0,300,"Left","NoStop"
2,"74",173.2,"Right",1,1,0,300,"Right","NoStop"
2,"75",242.7,"Left",1,1,0,300,"Left","NoStop"
2,"76",229.6,"Right",1,1,0,300,"Right","NoStop"
2,"77",189.1,"Left",1,1,0,300,"Left","NoStop"
2,"78",534.7,"Left",1,1,0,300,"Left","NoStop"
2,"79",227.7,"Left",1,0,1,300,"NoGo","Stop"
2,"80",327.9,"Left",1,1,0,250,"Left","NoStop"
2,"81",227.1,"Left",1,1,0,250,"Left","NoStop"
2,"82",436,"Right",1,1,0,250,"Right","NoStop"
2,"83",258.2,"Right",1,1,0,250,"Right","NoStop"
2,"84",265.7,"Left",1,1,0,250,"Left","NoStop"
2,"85",293.2,"Right",1,1,0,250,"Right","NoStop"
2,"86",201.5,"Right",1,1,0,250,"Right","NoStop"
2,"87",111.8,"Right",1,1,0,250,"Right","NoStop"
