"Schedule.ID","Participant.Public.ID","Trial.Number","Reaction.Time","Response","Attempt","Correct","Incorrect","ssd","display","ANSWER","Task"
23219489,2,"81",227.1,"Left",1,1,0,250,"craving","Left","NoStop"
23219489,2,"82",436,"Right",1,1,0,250,"craving","Right","NoStop"
23219489,2,"83",258.2,"Right",1,1,0,250,"craving","Right","NoStop"
23219489,2,"84",265.7,"Left",1,1,0,250,"craving","Left","NoStop"
23219489,2,"85",293.2,"Right",1,1,0,250,"craving","Right","NoStop"
23219489,2,"86",201.5,"Right",1,1,0,250,"craving","Right","NoStop"
23219489,2,"87",111.8,"Right",1,1,0,250,"craving","Right","NoStop"
23219489,2,"88",1249.919,"NoGo",NA,1,0,250,"craving","NoGo","Stop"
23219489,2,"89",117.3,"Right",1,1,0,300,"craving","Right","NoStop"
23219489,2,"90",248,"Left",1,1,0,300,"craving","Left","NoStop"
23219489,2,"91",180.1,"Left",1,1,0,300,"craving","Left","NoStop"
23219489,2,"92",1199.824,"NoGo",NA,1,0,300,"craving","NoGo","Stop"
23219489,2,"93",87.40000001,"Right",1,0,1,350,"craving","NoGo","Stop"
23219489,2,"94",350.2,"Right",1,1,0,300,"craving","Right","NoStop"
23219489,2,"95",269.1,"Left",1,1,0,300,"craving","Left","NoStop"
23219489,2,"96",222.4,"Left",1,1,0,300,"craving","Left","NoStop"
23219489,2,"97",194.1,"Right",1,1,0,300,"craving","Right","NoStop"
23219489,2,"98",209.7,"Left",1,1,0,300,"craving","Left","NoStop"
23219489,2,"99",332.3,"Left",1,1,0,300,"craving","Left","NoStop"
23219489,2,"100",104.3,"Right",1,1,0,300,"craving","Right","NoStop"
23219489,2,"101",119.9,"Right",1,1,0,300,"craving","Right","NoStop"
23219489,2,"102",157.7,"Right",1,1,0,300,"craving","Right","NoStop"
23219489,2,"103",1199.883,"NoGo",NA,1,0,300,"craving","NoGo","Stop"
23219489,2,"104",39.80000001,"Right",1,0,1,350,"craving","NoGo","Stop"
23219489,2,"105",139.6,"Right",1,1,0,300,"craving","Right","NoStop"
23219489,2,"106",127.1,"Right",1,0,1,300,"craving","NoGo","Stop"
23219489,2,"107",217,"Left",1,1,0,250,"craving","Left","NoStop"
23219489,2,"108",229.2,"Right",1,1,0,250,"craving","Right","NoStop"
23219489,2,"109",1249.831,"NoGo",NA,1,0,250,"craving","NoGo","Stop"
23219489,2,"110",127.8,"Left",1,1,0,300,"craving","Left","NoStop"
23219489,2,"111",199.6,"Left",1,1,0,300,"craving","Left","NoStop"
